,score_x,dim_4_layer_1,dim_4_layer_2,dim_4_layer_3,dim_4_layer_4,dim_4_layer_5,dim_4_layer_6,dim_4_layer_7,dim_4_layer_8,dim_4_layer_9,dim_4_layer_10,dim_4_layer_11,dim_4_layer_12,dim_4_layer_13,dim_4_layer_14,dim_4_layer_15
31,0.155,0.6234999999999997,0.4934000000000001,0.4085,0.3516000000000001,0.2981,0.2543,0.2095999999999999,0.1848,0.1608,0.1414,0.1192,0.1009,0.0969,0.0811,0.0705
32,0.16,0.6370999999999997,0.5061000000000002,0.4224,0.3641000000000001,0.311,0.2652,0.2190999999999999,0.1925,0.1682,0.1477,0.1245,0.1058,0.1021,0.0861,0.0744
33,0.165,0.6494999999999996,0.5191000000000002,0.4367,0.3758000000000001,0.3227,0.2753,0.2282999999999999,0.2024,0.1754,0.154,0.1304,0.1126,0.1063,0.0895,0.0774
34,0.17,0.6636999999999996,0.5339000000000003,0.4522,0.3933000000000001,0.3357,0.2876,0.2390999999999999,0.2129,0.1851,0.1616,0.1375,0.1195,0.1118,0.0944,0.0812
35,0.175,0.6714999999999997,0.5470000000000003,0.467,0.4059000000000001,0.3476000000000001,0.2971,0.2495999999999999,0.2209,0.1935,0.1674999999999999,0.1436,0.1248,0.1166,0.0992,0.0852
36,0.18,0.6787999999999996,0.5575000000000002,0.48,0.4187000000000001,0.3607000000000001,0.3075,0.2583999999999999,0.2325,0.2019,0.1747999999999999,0.1502,0.1321,0.1225,0.1033,0.0893
37,0.185,0.6843999999999997,0.5677000000000002,0.4939,0.4303000000000001,0.3733000000000001,0.3183,0.2689999999999999,0.2433,0.2112,0.1811999999999999,0.1563,0.1384,0.1281,0.1076,0.0927
38,0.19,0.6897999999999996,0.5777000000000002,0.5069,0.4433000000000001,0.3851,0.3293,0.2802999999999999,0.2543,0.2197,0.1889999999999999,0.1643,0.1446,0.134,0.112,0.0976
39,0.195,0.6934999999999997,0.5908000000000002,0.5197,0.4556000000000001,0.3960000000000001,0.3399,0.2897999999999999,0.2627,0.2282,0.1960999999999999,0.1705,0.1489,0.1392,0.117,0.10210000000000001
40,0.2,0.6980999999999997,0.6010000000000002,0.5316000000000001,0.4680000000000001,0.4081000000000001,0.351,0.3009999999999999,0.2725,0.236,0.2037999999999999,0.178,0.1558,0.1453,0.1213,0.10700000000000001
41,0.205,0.7009999999999997,0.6119000000000002,0.5458000000000001,0.4795000000000001,0.4230000000000001,0.3626,0.3122999999999999,0.2823,0.2447,0.2098999999999999,0.1856,0.1626,0.1498,0.1265,0.11250000000000002
42,0.21,0.7031999999999997,0.6242000000000002,0.5616000000000001,0.4964000000000002,0.4361000000000001,0.3767,0.3248999999999999,0.2929,0.255,0.2207999999999999,0.1941,0.1722,0.1565,0.1316,0.11820000000000001
43,0.215,0.7064999999999997,0.6335000000000002,0.5724000000000001,0.5079000000000001,0.4493000000000001,0.3889,0.3366999999999999,0.3026,0.2644,0.2276999999999999,0.2018,0.179,0.1611,0.1375,0.12310000000000001
44,0.22,0.7091999999999997,0.6429000000000001,0.5854000000000001,0.5206000000000002,0.4616,0.4005,0.3460999999999999,0.3127,0.2739,0.2360999999999999,0.2095,0.185,0.1677,0.1422,0.12890000000000001
45,0.225,0.7115999999999997,0.6530000000000001,0.5961000000000002,0.5311000000000001,0.4750000000000001,0.4113,0.3576999999999999,0.3238,0.2825,0.2450999999999999,0.218,0.1919,0.1733,0.148,0.1342
46,0.23,0.7135999999999997,0.6627000000000002,0.6078000000000002,0.5439000000000002,0.4851000000000001,0.4247,0.3704999999999999,0.3339999999999999,0.291,0.2538999999999999,0.2261,0.1982,0.1789,0.1553,0.1391
47,0.235,0.7182999999999997,0.6721000000000001,0.6197000000000003,0.5557000000000002,0.4969,0.4358,0.3827999999999998,0.3435999999999999,0.3006,0.2645999999999999,0.2332,0.2055,0.1859,0.1612,0.144
48,0.24,0.7229999999999998,0.6802000000000001,0.6302000000000002,0.5668000000000002,0.5091000000000001,0.4485,0.3948999999999998,0.3547999999999999,0.3107,0.2734999999999999,0.242,0.214,0.1937,0.1679,0.1497
49,0.245,0.7263999999999997,0.6890000000000002,0.6411000000000002,0.5772000000000002,0.5215000000000001,0.4621,0.4061999999999998,0.3647999999999999,0.3218,0.2815,0.2503,0.2207,0.2004,0.1745,0.1555
50,0.25,0.7308999999999997,0.6973000000000001,0.6504000000000002,0.5903000000000002,0.5357000000000001,0.4748,0.4166999999999998,0.3745999999999999,0.3325,0.2925999999999999,0.26,0.2296,0.2085,0.1813,0.1614
51,0.255,0.7356999999999997,0.7075000000000001,0.6624000000000002,0.6033000000000002,0.5502,0.4881,0.4327999999999998,0.3880999999999999,0.346,0.3056999999999999,0.2717,0.2381,0.2173,0.1912,0.1686
52,0.26,0.7401999999999996,0.7147000000000001,0.6731000000000003,0.6131000000000002,0.5637,0.5009,0.4448999999999998,0.3987999999999999,0.355,0.3157,0.2806,0.2492,0.2243,0.1982,0.1759
53,0.265,0.7461999999999996,0.7222000000000001,0.6856000000000002,0.6224000000000002,0.5747,0.5135000000000001,0.4547999999999998,0.4092999999999999,0.3657,0.3246,0.2906,0.2571,0.2313,0.2053,0.1834
54,0.27,0.7521999999999996,0.7323000000000001,0.6959000000000002,0.6328000000000001,0.5869,0.5246000000000001,0.4671999999999999,0.4204999999999999,0.376,0.3335,0.298,0.2656,0.2379,0.2121,0.19060000000000002
55,0.275,0.7600999999999997,0.7388,0.7064000000000001,0.6449000000000001,0.5977,0.5364000000000001,0.4815999999999999,0.4313999999999999,0.3847,0.3437,0.3065,0.2738,0.2467,0.2177,0.197
56,0.28,0.7686999999999997,0.7474000000000001,0.7177000000000001,0.6578000000000002,0.6099,0.5492000000000001,0.4919999999999999,0.4409999999999999,0.3959999999999999,0.3542,0.3152,0.282,0.2546,0.2247,0.20470000000000002
57,0.285,0.7766999999999997,0.7563000000000001,0.7277000000000001,0.6689000000000002,0.6221,0.5579000000000002,0.5025999999999999,0.4531999999999999,0.4074,0.3658,0.3254,0.29,0.262,0.2323,0.21140000000000003
58,0.29,0.7848999999999997,0.7672000000000001,0.7369000000000001,0.6793000000000001,0.6325,0.5691000000000002,0.5147999999999999,0.4648999999999999,0.4178,0.3757,0.3335,0.298,0.2714000000000001,0.2398,0.22000000000000003
59,0.295,0.7976999999999997,0.7790000000000001,0.7474000000000001,0.6915000000000001,0.6451,0.5844000000000001,0.5278999999999999,0.4809999999999999,0.4313,0.3865,0.344,0.3077999999999999,0.2836000000000001,0.2501,0.22820000000000004
60,0.3,0.8082999999999998,0.7883000000000001,0.7575000000000001,0.7032000000000002,0.6545,0.5980000000000001,0.5400999999999999,0.4918999999999999,0.4416,0.3962,0.3515,0.3185999999999999,0.2910000000000001,0.2573999999999999,0.23510000000000003
61,0.305,0.8208999999999997,0.7953000000000001,0.7668,0.7128000000000002,0.6644,0.6096000000000001,0.5509999999999999,0.5027999999999999,0.4515,0.4074,0.362,0.3288999999999999,0.2999000000000001,0.2648,0.24120000000000003
62,0.31,0.8308999999999997,0.8055000000000001,0.775,0.7217000000000002,0.6758,0.6215000000000002,0.5618,0.5136999999999999,0.461,0.4191,0.3712,0.3381999999999999,0.3105000000000001,0.2729999999999999,0.24930000000000002
63,0.315,0.8445999999999998,0.8162000000000001,0.7824,0.7326000000000003,0.6868,0.6320000000000001,0.5732999999999999,0.5236999999999999,0.4735,0.4317999999999999,0.3816,0.3473999999999999,0.3188000000000001,0.2816999999999999,0.2575
64,0.32,0.8584999999999998,0.8270000000000002,0.7907,0.7429000000000002,0.6957,0.6426000000000002,0.5852999999999999,0.5350999999999999,0.4869,0.4422999999999999,0.3921,0.3572999999999999,0.3257000000000001,0.2903999999999999,0.2653
65,0.325,0.8704999999999998,0.8366000000000002,0.7998999999999999,0.7522000000000002,0.707,0.6540000000000001,0.5963999999999999,0.5462999999999999,0.4987,0.4520999999999999,0.4023,0.3672999999999999,0.3337000000000001,0.2991999999999999,0.2738
66,0.33,0.8813999999999999,0.8443000000000003,0.8085,0.7640000000000002,0.7156,0.6661000000000001,0.6077999999999999,0.5589999999999999,0.5089,0.4640999999999999,0.4122,0.3784999999999999,0.3420000000000001,0.3082999999999999,0.28209999999999996
67,0.335,0.8979999999999998,0.8553000000000003,0.8191,0.7762000000000002,0.7274,0.6787000000000001,0.6216999999999999,0.5730999999999999,0.5216000000000001,0.4791999999999999,0.4256000000000001,0.3885999999999999,0.3535000000000001,0.3184999999999999,0.29179999999999995
68,0.34,0.9092999999999998,0.8634000000000003,0.8259000000000001,0.7844000000000002,0.7381000000000001,0.6887000000000001,0.6323,0.5843999999999999,0.5336000000000001,0.4891,0.4363000000000001,0.3988999999999998,0.3641000000000001,0.3266999999999999,0.29969999999999997
69,0.345,0.9202999999999998,0.8703000000000003,0.8331000000000001,0.7934000000000002,0.7472000000000001,0.6970000000000001,0.642,0.5942999999999999,0.5454000000000001,0.5005,0.4466,0.4095999999999998,0.3738000000000001,0.3347999999999999,0.30749999999999994
70,0.35,0.9307999999999996,0.8773000000000003,0.8413,0.8041000000000003,0.7564000000000001,0.7072,0.6522,0.6051,0.5562000000000001,0.5127999999999999,0.4569,0.4181999999999998,0.3858000000000001,0.3446999999999999,0.31739999999999996
71,0.355,0.9429999999999996,0.8841000000000003,0.8479000000000001,0.8128000000000003,0.7650000000000001,0.7167,0.6628000000000001,0.6171,0.5677000000000001,0.5241999999999999,0.4676,0.4292999999999998,0.3971,0.3539999999999998,0.32639999999999997
72,0.36,0.9523999999999996,0.8913000000000003,0.8560000000000001,0.8212000000000003,0.7743000000000001,0.7261,0.6745000000000001,0.6278,0.5778000000000001,0.5333999999999999,0.4786,0.4393999999999998,0.4083,0.3625999999999998,0.33669999999999994
73,0.365,0.9621999999999996,0.8980000000000004,0.8628000000000001,0.8296000000000002,0.7836000000000001,0.7363999999999999,0.6847000000000001,0.6386000000000001,0.5882000000000001,0.5446999999999999,0.4899,0.4503999999999998,0.4178,0.3717999999999998,0.34729999999999994
74,0.37,0.9710999999999996,0.9059000000000004,0.8700000000000001,0.8364000000000003,0.7931,0.7453,0.6945000000000001,0.6473000000000001,0.6005,0.5554999999999999,0.5,0.4628999999999998,0.4279,0.3837999999999998,0.3565999999999999
75,0.375,0.9774999999999996,0.9113000000000004,0.8756000000000002,0.8431000000000003,0.802,0.7555,0.7042000000000002,0.6596000000000001,0.6125,0.5683999999999999,0.513,0.4732999999999999,0.4387,0.3945999999999998,0.3657999999999999
76,0.38,0.9843999999999996,0.9185000000000004,0.8833000000000002,0.8502000000000003,0.8117000000000001,0.7678999999999999,0.7179000000000002,0.6725000000000001,0.6255000000000001,0.5814999999999999,0.525,0.4873999999999999,0.4504,0.4075999999999998,0.3765999999999999
77,0.385,0.9900999999999998,0.9240000000000004,0.8884000000000002,0.8562000000000003,0.8199000000000001,0.7786,0.7283000000000002,0.6847000000000001,0.6356,0.5932,0.5341,0.4987999999999999,0.4601,0.4173999999999998,0.38639999999999985
78,0.39,0.9933999999999996,0.9290000000000004,0.8948000000000002,0.8618000000000003,0.8274,0.7865,0.7378000000000001,0.6947000000000001,0.647,0.6031,0.5442,0.5099999999999999,0.4701,0.4282999999999998,0.3962999999999999
79,0.395,0.9957999999999996,0.9335000000000002,0.9000000000000001,0.8673000000000003,0.8346,0.7947,0.7484000000000002,0.7063000000000001,0.6571,0.6132,0.5542,0.5200999999999999,0.4809,0.4385999999999998,0.40659999999999985
80,0.4,0.9977999999999996,0.9371000000000004,0.9055,0.8739000000000003,0.8433,0.8039,0.7566000000000002,0.7173000000000002,0.6673,0.6253,0.5671,0.5300999999999999,0.4899,0.4486999999999998,0.41779999999999984
81,0.405,0.9985999999999996,0.9408000000000004,0.9093,0.8802000000000003,0.8503000000000001,0.8119999999999999,0.7672000000000002,0.7271000000000002,0.6788,0.6364,0.5775,0.5412999999999999,0.5008,0.4581999999999998,0.4284999999999998
82,0.41,0.9993999999999996,0.9444000000000004,0.9139000000000002,0.8870000000000003,0.8575,0.8207,0.7747000000000002,0.7369000000000002,0.689,0.6468999999999999,0.5898,0.5516999999999999,0.5118,0.4685999999999998,0.4401999999999998
83,0.415,0.9996999999999996,0.9473000000000004,0.9178000000000002,0.8927000000000004,0.8648,0.8283,0.7850000000000001,0.7480000000000002,0.6987,0.6563999999999999,0.6021,0.5624999999999999,0.5232,0.4806999999999998,0.45059999999999983
84,0.42,0.9998999999999996,0.9515000000000003,0.9230000000000002,0.8993000000000004,0.872,0.8366,0.7950000000000002,0.7609000000000002,0.7111,0.6704999999999999,0.6129,0.5765999999999999,0.5359,0.4923999999999998,0.46369999999999983
85,0.425,0.9999999999999996,0.9550000000000004,0.9259000000000002,0.9049000000000004,0.879,0.8438,0.8016000000000002,0.7687000000000003,0.7232999999999999,0.6783999999999999,0.6241,0.5861999999999999,0.5458000000000001,0.5018999999999998,0.47379999999999983
86,0.43,0.9999999999999996,0.9574000000000004,0.9295000000000002,0.9094000000000004,0.8847,0.8515,0.8104000000000002,0.7776000000000003,0.734,0.6874999999999999,0.6354,0.5969,0.5556000000000001,0.5120999999999998,0.48319999999999985
87,0.435,0.9999999999999996,0.9599000000000002,0.9338000000000002,0.9138000000000004,0.8909,0.8581000000000001,0.8195000000000002,0.7865000000000003,0.742,0.6977999999999999,0.6472,0.6077,0.5655000000000001,0.5236999999999998,0.49309999999999987
88,0.44,0.9999999999999996,0.9633000000000002,0.9378000000000002,0.9192000000000004,0.896,0.8655,0.8271000000000003,0.7967000000000003,0.7515,0.7096999999999999,0.6577,0.6199,0.5768000000000001,0.5348999999999998,0.5032999999999999
89,0.445,0.9999999999999996,0.9650000000000002,0.9406000000000002,0.9239000000000004,0.9009,0.8716,0.8326000000000002,0.8053000000000003,0.7606999999999999,0.7202999999999999,0.6684,0.6313,0.5896000000000001,0.5474999999999999,0.5136999999999998
90,0.45,0.9999999999999996,0.9668000000000002,0.9453000000000004,0.9284000000000004,0.9052,0.8787,0.8401000000000002,0.8141000000000004,0.7694,0.7317999999999999,0.6788,0.6424,0.6009000000000001,0.5586999999999999,0.5254999999999999
91,0.455,0.9999999999999996,0.9694000000000004,0.9473000000000004,0.9314000000000004,0.9096,0.8864000000000001,0.8484000000000002,0.8225000000000003,0.7777999999999999,0.7402999999999998,0.6908,0.6548999999999999,0.6116000000000001,0.5683999999999999,0.5389999999999998
92,0.46,0.9999999999999996,0.9723000000000004,0.9505000000000002,0.9362000000000004,0.9149,0.8952000000000001,0.8574000000000002,0.8308000000000003,0.7888,0.7517999999999998,0.7025,0.6666,0.6242000000000001,0.5816999999999999,0.5506999999999999
93,0.465,0.9999999999999996,0.9746000000000002,0.9534000000000002,0.9396000000000004,0.9189,0.9004000000000001,0.8643000000000002,0.8393000000000003,0.7978999999999999,0.7622999999999998,0.7153,0.6778,0.6345000000000001,0.5918999999999999,0.5615999999999999
94,0.47,0.9999999999999996,0.9754000000000004,0.9560000000000004,0.9436000000000004,0.9236,0.9061,0.8721000000000002,0.8471000000000003,0.8063999999999999,0.7718999999999998,0.7254,0.6884,0.6458,0.6034999999999999,0.5723999999999999
95,0.475,0.9999999999999996,0.9770000000000004,0.9591000000000004,0.9463000000000004,0.927,0.9106,0.8776000000000002,0.8556000000000002,0.8150999999999999,0.7798999999999998,0.7373000000000001,0.6989,0.6575000000000001,0.6144,0.5825999999999999
96,0.48,0.9999999999999996,0.9792000000000004,0.9612000000000004,0.9489000000000004,0.9315,0.9143,0.8844000000000002,0.8632000000000003,0.8217,0.7884999999999999,0.7470000000000001,0.7078,0.6686000000000001,0.6243,0.5937999999999999
97,0.485,0.9999999999999996,0.9810000000000004,0.9644000000000004,0.9517000000000004,0.9357,0.9173,0.8895000000000002,0.8695000000000003,0.831,0.7971999999999999,0.7560000000000001,0.719,0.6813000000000001,0.6365999999999999,0.6041999999999998
98,0.49,0.9999999999999996,0.9826000000000004,0.9665000000000002,0.9551000000000004,0.9389999999999998,0.9215,0.8949000000000001,0.8761000000000003,0.8384999999999999,0.8059999999999999,0.7655000000000001,0.7301,0.6933000000000001,0.6481999999999999,0.6144999999999998
99,0.495,0.9999999999999996,0.9837000000000004,0.9680000000000002,0.9589000000000004,0.9428999999999998,0.9281,0.8997000000000002,0.8824000000000003,0.8448999999999999,0.8129,0.7754000000000001,0.7393,0.7040000000000002,0.6588999999999999,0.6252999999999999
100,0.5,0.9999999999999996,0.9850000000000004,0.9699000000000002,0.9618000000000004,0.9462999999999998,0.9315,0.9045000000000002,0.8888000000000003,0.8525999999999999,0.8221999999999999,0.7847000000000001,0.7495999999999999,0.7146000000000002,0.6691999999999999,0.6363999999999999
101,0.505,0.9999999999999996,0.9864000000000004,0.9721000000000002,0.9646000000000003,0.9502999999999998,0.9361000000000002,0.9103000000000002,0.8963000000000002,0.8614999999999999,0.8319,0.7967000000000001,0.7636,0.7274000000000003,0.6824999999999999,0.6510999999999999
102,0.51,0.9999999999999996,0.9874000000000004,0.9738000000000002,0.9667000000000004,0.9532999999999998,0.9400000000000002,0.9163000000000002,0.9020000000000002,0.8678999999999999,0.8406,0.8063000000000001,0.7732,0.7384000000000003,0.6932999999999999,0.6631999999999999
103,0.515,0.9999999999999996,0.9881000000000004,0.9757000000000002,0.9682000000000004,0.9563999999999998,0.9435,0.9227000000000002,0.9085000000000002,0.8755999999999999,0.8459,0.8147000000000001,0.7817,0.7486000000000003,0.7062999999999999,0.6726999999999999
104,0.52,0.9999999999999996,0.9889000000000004,0.9771000000000002,0.9700000000000004,0.9584999999999998,0.9468,0.9276000000000002,0.9138000000000002,0.8816999999999999,0.8529,0.8233000000000001,0.7904,0.7586000000000003,0.7163999999999999,0.6821999999999998
105,0.525,0.9999999999999996,0.9905000000000004,0.9784000000000002,0.9714000000000004,0.9604999999999998,0.9499,0.9313000000000002,0.9189000000000002,0.8888999999999999,0.8605,0.8312000000000002,0.801,0.7667000000000003,0.7276999999999999,0.6937999999999998
106,0.53,0.9999999999999996,0.9915000000000004,0.9801000000000002,0.9734000000000004,0.9631999999999998,0.9531,0.9348000000000002,0.9236000000000002,0.8946999999999999,0.8676,0.8395000000000001,0.8106000000000001,0.7744000000000003,0.7378999999999999,0.7054999999999998
107,0.535,0.9999999999999996,0.9928000000000003,0.9809000000000002,0.9758000000000004,0.965,0.9562,0.9394000000000002,0.9295000000000002,0.9016,0.8749,0.8475000000000001,0.8198000000000001,0.7857000000000003,0.7464999999999999,0.7156999999999998
108,0.54,0.9999999999999996,0.9937000000000004,0.9822000000000002,0.9771000000000004,0.9674999999999998,0.9591,0.9436000000000002,0.9344000000000002,0.9063,0.8816,0.8554000000000002,0.8292,0.7955000000000003,0.7563,0.7257999999999998
109,0.545,0.9999999999999996,0.9946000000000004,0.9835000000000002,0.9790000000000004,0.9701,0.9629,0.9486000000000002,0.9395000000000002,0.9125,0.8895000000000001,0.8644000000000002,0.8378000000000001,0.8055000000000003,0.7696,0.7375999999999998
110,0.55,0.9999999999999996,0.9950000000000004,0.9847,0.9802000000000004,0.9722999999999998,0.9656,0.9522000000000004,0.9444000000000002,0.9188,0.8979,0.8717000000000001,0.8453,0.8150000000000003,0.7788999999999999,0.7461999999999999
111,0.555,0.9999999999999996,0.9955000000000004,0.9856,0.9819000000000004,0.9741999999999998,0.9684,0.9549000000000004,0.9477000000000002,0.9245,0.9042,0.8792000000000001,0.8535,0.8236000000000003,0.7880999999999999,0.7567999999999999
112,0.56,0.9999999999999996,0.9958000000000002,0.9872000000000002,0.9838000000000005,0.9761999999999998,0.9699,0.9579000000000004,0.9514000000000002,0.9298,0.9101,0.8852000000000001,0.8609,0.8353000000000004,0.7972999999999999,0.7676
113,0.5650000000000001,0.9999999999999996,0.9962000000000002,0.9885000000000002,0.9850000000000004,0.9781999999999998,0.9722,0.9607000000000004,0.9555000000000002,0.9339,0.915,0.8934000000000001,0.8687,0.8430000000000004,0.8057999999999998,0.7770999999999999
114,0.5700000000000001,0.9999999999999996,0.9967,0.9902000000000002,0.9859000000000004,0.9801,0.9744,0.9630000000000004,0.9593000000000004,0.9377,0.9207,0.8997,0.8756,0.8506000000000005,0.8132999999999998,0.7840999999999999
115,0.5750000000000001,0.9999999999999996,0.9972,0.9914000000000002,0.9872000000000004,0.9818,0.9762,0.9661000000000004,0.9633000000000004,0.9413,0.9245,0.9046,0.8825000000000001,0.8581000000000004,0.8229999999999998,0.7948999999999999
116,0.58,0.9999999999999996,0.9973,0.9924000000000002,0.9883000000000004,0.983,0.9783,0.9692000000000004,0.9661000000000004,0.9461,0.9288,0.9106,0.8886000000000001,0.8666000000000004,0.8313999999999998,0.8019
117,0.585,0.9999999999999996,0.9977,0.9932000000000002,0.9895000000000004,0.9851,0.9798,0.9716000000000002,0.9687000000000004,0.9507,0.9339,0.9176,0.898,0.8749000000000003,0.8396999999999998,0.8113999999999999
118,0.59,0.9999999999999996,0.9981,0.9936,0.9911000000000004,0.9862,0.9814,0.9735000000000004,0.9713000000000004,0.9534,0.9373,0.9224,0.9027,0.8813000000000003,0.8494999999999998,0.8192999999999999
119,0.595,0.9999999999999996,0.9982,0.994,0.9916000000000004,0.9874999999999998,0.9836,0.9758000000000002,0.9739000000000004,0.9559,0.9417,0.9270000000000002,0.9085,0.8877000000000003,0.8571999999999999,0.8282999999999999
