,score_x,qubits_4_layer_1,qubits_4_layer_2,qubits_4_layer_3,qubits_4_layer_4,qubits_4_layer_5,qubits_4_layer_6,qubits_4_layer_7,qubits_4_layer_8,qubits_4_layer_9,qubits_4_layer_10,qubits_4_layer_11,qubits_4_layer_12,qubits_4_layer_13,qubits_4_layer_14,qubits_4_layer_15,qubits_3_layer_1,qubits_3_layer_2,qubits_3_layer_3,qubits_3_layer_4,qubits_3_layer_5,qubits_3_layer_6,qubits_3_layer_7,qubits_3_layer_8,qubits_3_layer_9,qubits_3_layer_10,qubits_3_layer_11,qubits_3_layer_12,qubits_3_layer_13,qubits_3_layer_14,qubits_3_layer_15,qubits_3_layer_16,qubits_3_layer_17,qubits_5_layer_1,qubits_5_layer_2,qubits_5_layer_3,qubits_5_layer_4,qubits_5_layer_5,qubits_5_layer_6,qubits_5_layer_7,qubits_5_layer_8,qubits_5_layer_9
13,0.065,0.2579,0.2092,0.1589,0.1303,0.1008,0.0836,0.0725,0.0599,0.0534,0.0422,0.0357,0.0305,0.0325,0.0238,0.0229,0.0682,0.0338,0.016,0.0062,0.0034,0.0019,0.0007,0.0004,0.0,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.5705,0.4408999999999999,0.383,0.3227,0.2885,0.2649,0.2392,0.2124999999999999,0.19169999999999998
14,0.07,0.284,0.2269,0.1722,0.1408,0.1102,0.0905,0.0777,0.0654,0.0587,0.0468,0.0383,0.0337,0.0347,0.0262,0.025,0.0723,0.0365,0.0174,0.0073,0.0034,0.0023,0.0011,0.0004,0.0001,0.0001,0.0002,0.0,0.0001,0.0,0.0,0.0,0.0,0.6007,0.4725,0.4141,0.3495999999999999,0.3126,0.2869,0.2587,0.2344999999999999,0.21059999999999998
15,0.075,0.3065,0.2416,0.1861,0.1509,0.1196,0.0998,0.0827,0.0704,0.0632,0.0523,0.0406,0.0364,0.0372,0.0282,0.0273,0.0761,0.0402,0.0191,0.0079,0.0038,0.0024,0.0012,0.0005,0.0003,0.0002,0.0003,0.0001,0.0001,0.0,0.0,0.0,0.0,0.6268,0.5005999999999999,0.4427,0.3753999999999999,0.3381,0.3101,0.2791,0.2522999999999999,0.2264
16,0.08,0.3301,0.2551,0.1997,0.1623,0.1298,0.1078,0.0904,0.0767,0.068,0.0561,0.0437,0.0399,0.0404,0.0311,0.029,0.0817,0.0442,0.0202,0.0092,0.0041,0.0026,0.0012,0.0007,0.0004,0.0002,0.0003,0.0001,0.0001,0.0,0.0,0.0,0.0,0.6526000000000001,0.5302999999999999,0.4681,0.4029999999999999,0.3597,0.3318,0.3025,0.2704999999999999,0.2465
17,0.085,0.36,0.2755,0.2176,0.1764,0.1418,0.1163,0.0981,0.0822,0.0735,0.0609,0.0477,0.0434,0.0432,0.0346,0.0318,0.088,0.0475,0.0214,0.0106,0.0044,0.003,0.0012,0.0009,0.0004,0.0002,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0,0.6826000000000001,0.5649999999999998,0.4996,0.4327,0.3902,0.3574,0.3293999999999999,0.2955,0.2702
18,0.09,0.3837,0.2919,0.2315,0.1867,0.1521,0.1252,0.1051,0.0884,0.0785,0.0656,0.052,0.0461,0.0461,0.0371,0.0339,0.0928,0.0503,0.0232,0.0116,0.0046,0.0034,0.0013,0.001,0.0004,0.0003,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0,0.7052,0.5911999999999998,0.5251,0.4583,0.413,0.3797,0.3511999999999999,0.3141,0.2889
19,0.095,0.4056,0.3091,0.2431,0.1983,0.1618,0.1338,0.1107,0.0944,0.0838,0.0701,0.0557,0.05,0.0484,0.0405,0.0366,0.0998,0.0531,0.0246,0.0122,0.0051,0.0036,0.0015,0.0012,0.0006,0.0003,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0,0.7233,0.6134999999999998,0.549,0.4859,0.4377999999999999,0.4052,0.3707,0.3359,0.3089
20,0.1,0.4315,0.3261,0.2566,0.2099,0.1712,0.1422,0.1168,0.1012,0.0884,0.0746,0.0607,0.0534,0.0519,0.0432,0.0387,0.1045,0.0561,0.0268,0.013,0.0056,0.0037,0.0016,0.0013,0.0007,0.0005,0.0004,0.0001,0.0001,0.0,0.0,0.0,0.0,0.7442000000000001,0.6368999999999998,0.5754,0.5112,0.4603,0.4257000000000001,0.3927,0.3605,0.3303
21,0.105,0.4575,0.3421,0.2719,0.2227,0.1835,0.1523,0.1236,0.1069,0.0934,0.08,0.0652,0.0579,0.0546,0.0458,0.0413,0.1104,0.0593,0.0284,0.0137,0.0062,0.004,0.002,0.0014,0.0009,0.0005,0.0004,0.0001,0.0002,0.0,0.0,0.0,0.0001,0.7622000000000001,0.6596999999999998,0.599,0.5374,0.4838,0.4474000000000001,0.4139,0.3809,0.34759999999999996
22,0.11,0.4814,0.3583,0.286,0.2354,0.1945,0.1611,0.1299,0.1132,0.0986,0.0857,0.0686,0.0612,0.0579,0.0493,0.0452,0.118,0.0631,0.0302,0.0157,0.0066,0.0043,0.002,0.0014,0.001,0.0006,0.0004,0.0001,0.0002,0.0001,0.0,0.0,0.0001,0.7756000000000001,0.6814999999999999,0.6219,0.5623,0.5103,0.4685000000000001,0.4382999999999999,0.401,0.36569999999999997
